idioma_web,en,es,it,de,
titulo,Rent a Car Mallorca,Rent a Car Mallorca,Noleggio auto Mallorca,Auto mieten Mallorca,
contacto_reservas,Reservation contact,Contacto reservas,Contatto per la prenotazione,Kontakt buchen,
idiomas,Language,Idioma,Lingua,Sprache,
eslogan,Get to know Mallorca…,Conozca Mallorca...,Conoscere Mallorca...,Lernen Sie Mallorca kennen...,
titulo_form,Rent a car,Alquiler de Coches,Noleggia un'auto,Ein Auto mieten,
error_formulario1,"Please try again, sorry for the inconvenience. Thank you.","Reintente, disculpe las molestias. Gracias.","Prova di nuovo, scusa per l'inconveniente. Grazie.","Versuchen Sie es erneut, entschuldigen Sie die Unannehmlichkeiten. Danke!",
error_formulario2,We are sorry to inform you that we do not have any vehicle available for the requested dates. We apologize for the inconvenience. Thank you.,Sentimos informarle que no disponemos de ningún vehículo para las fechas solicitadas. Disculpe las molestias. Gracias.,Siamo spiacenti di informarla che non abbiamo nessun veicolo disponibile per le date richieste. Ci scusiamo per l'inconveniente. Grazie.,"Es tut uns leid, Ihnen mitzuteilen, dass wir für die angefragten Daten kein Fahrzeug zur Verfügung haben. Entschuldigung für die Unannehmlichkeiten. Danke!",
error_formulario3,Incorrect Pickup Date,Fecha Recogida Incorrecta,Data di ritiro errata,Falsches Abholdatum,
error_formulario4,x,x,x,x,
recogida,Pickup:,Recogida:,Ritiro,Abholen,
hora,At :,Hora :,Tempo,Uhrzeit ,
devolucion,Return :,Devolucion :,Ritorno,Rückgabe ,
conductor_experiencia,Driver is 23 years old or older,Conductor tiene 23 años o mas,Il conducente ha 23 anni o più,Der Fahrer ist 23 Jahre alt oder älter,
edad_conductor,Driver's age,Edad del conductor,Età dell'autista,Alter des Fahrers,
ver_precios,View prices,Ver precios,Vedere i prezzi,Siehe Preise,
informacion,Information,Información,Informazioni,Informationen,
copyright,@lvaro Ruiz WEB ,@lvaro Ruiz WEB ,@lvaro Ruiz WEB ,@lvaro Ruiz WEB ,
idioma_italiano,Italiano,Italiano,Italiano,Italienisch,
idioma_espanol,Español,Español,Inglese,Englisch,
idioma_aleman,Deutsch,Deutsch,Deutsch,Deutsch,
idioma_ingles,English,English,Español,Español,
idioma_frances,Français,Français,Français,Französisch,
bandera_italiana,bandiera tedesca,bandiera tedesca,bandiera tedesca,tedesca-Flagge,
bandera_espanola,bandera española,bandera española,Bandiera spagnola,Spanische Flagge,
bandera_alemana,deutsche flagge,deutsche flagge,deutsche flagge,deutsche Flagge,
bandera_inglesa,english flag,english flag,bandiera inglese,englische Flagge,
bandera_francesa,drapeau français,drapeau français,drappeggio francese,drapeau français,
ofertas_encontradas_titulo,Show Offers found,Muestra Ofertas encontradas,Esempi di offerte trovate,Beispielangebote gefunden,
datos_busqueda,Search data,Datos busqueda,Dati di ricerca,Daten suchen,
cambiar,Change,Cambiar,Cambia,Ändern,
desde,from,desde,da,von,
titulo_ofertas,O F F E R S,O F E R T A S,O F F E R T A S,O F F E R T A S,
aviso_edad1,Drivers aged 18 to 22 ,Es posible que los conductores de 18 a 22,Ai conducenti di età compresa tra i 18 e i 22 anni ,Bei Fahrern zwischen 18 und 22 Jahren ,
aviso_edad2,"may be charged an additional fee when collecting the vehicle. If the selected vehicle requires a young driver charge, we will inform you of this.","años deban abonar un cargo adicional cuando vayan a retirar el vehículo. Si el vehículo seleccionado requiere un cargo por conductor joven, le informaremos de ello.","può essere addebitata una tassa aggiuntiva al momento del ritiro del veicolo. Se il veicolo selezionato richiede una tassa per giovani conducenti, vi informeremo di questo."," kann bei der Abholung des Fahrzeugs eine zusätzliche Gebühr anfallen. Sollte für das ausgewählte Fahrzeug eine Jungfahrergebühr anfallen, werden wir Sie darüber informieren.",
reservar,/reserve,/reservar,/prenotazione,/Buchen,
elmasvalorado,Highest rated,El mas valorado,I più votati,Höchste Bewertung,
elpreciomasbajo,Lowest price,El precio mas bajo,Prezzo più basso,Niedrigster Preis,
condiciones,Conditions,Condiciones,Condizioni,Bedingungen,
tooltip_condiciones,General terms and conditions,Condiciones generales,Termini e condizioni,Bedingungen und Konditionen,
tooltip_vehiculo_asientos1,vehicle has,vehiculo tiene,il veicolo ha,Fahrzeug hat,
tooltip_vehiculo_asientos2,seats,asientos,posti a sedere,Sitze,
tooltip_vehiculo_tiene,vehicle has,vehiculo tiene,il veicolo ha,Fahrzeug hat,
tooltip_vehiculo_puertas,doors,puertas,porte,Türen,
tooltip_aire_acondicionado,air conditioning,aire acondicionado,aria condizionata,Klimatisierung,
tooltip_cambio_manual,manual transmission,cambio manual,trasmissione manuale,Schaltgetriebe,
tooltip_cambio_automatico,automatic transmission,cambio automatico,trasmissione automatica,Automatikgetriebe,
tooltip_kilometraje,unlimited mileage,kilometraje ilimitado,chilometraggio illimitato,unbegrenzte Kilometerleistung,
tooltip_cancelaciones,FREE Cancelation,cancelación gratuita,cancellazione gratuita,kostenlose Stornierung,
tooltip_modificaciones,free modification,modificación gratuita,modifica gratuita,freie Änderung,
kilometraje,Unlimited mileage,Kilometraje Ilimitado,Chilometraggio illimitato,Unbegrenzte Kilometerleistung,
cancelaciones,FREE Cancelation,Cancelación gratuita,Cancellazione gratuita,Kostenlose Stornierung,
modificaciones,Free modification,Modificación gratuita,Modifica gratuita,Freie Änderung,
suplemento_noche_fuera_entrega,Out of day supplement,Suplemento fuera de entrega,Supplemento per mancata consegna,Aufpreis bei Nichtlieferung,
sin_suplemento_noche_fuera_entrega,No extra charge out of day,Sin suplemento fuera de dia,Nessun costo aggiuntivo fuori dal giorno,Kein Aufpreis außerhalb des Tages,
tooltip_suplemento_noche_fuera_entrega,The user must pay a supplement of X € for the delivery of the vehicle outside the scheduled day,El usuario debe pagar un suplmento de X € por entregar el vehiculo fuera del dia señalado,L'utente deve pagare un supplemento di X € per la consegna del veicolo al di fuori del giorno stabilito.,Für die Anlieferung des Fahrzeugs außerhalb des vorgesehenen Tages hat der Nutzer einen Zuschlag von X € zu zahlen.,
tooltip_sin_suplemento_noche_fuera_entrega,The user will not pay for the delivery the vehicle on the scheduled day,El usuario no pagara por entregar el vehiculo en el dia señalado,L'utente non pagherà per la consegna del veicolo nel giorno stabilito.,Der Benutzer zahlt nicht für die Zustellung des Fahrzeugs am vereinbarten Tag.,
suplemento_tiempo_fuera_entrega,Out of hour supplement,Suplemento fuera de hora,Supplemento fuori orario,Zuschlag außerhalb der Stunde,
sin_suplemento_tiempo_fuera_entrega,No supplement out of time,Sin suplemento fuera hora,Nessun supplemento fuori orario,Kein Außer-Stunden-Zuschlag,
tooltip_suplemento_tiempo_fuera_entrega,The user must pay a supplement of X € for the delivery of the vehicle outside the scheduled time.,El usuario debe pagar un suplmento de X € por entregar el vehiculo fuera de la hora señalada,Il noleggiatore deve pagare un supplemento di X € per il ritiro o la riconsegna tardiva del veicolo,Für eine verspätete Abholung oder Rückgabe des Fahrzeugs muss der Mieter einen Aufpreis von X € zahlen,
tooltip_sin_suplemento_tiempo_fuera_entrega,The user does not have to pay for out of hours delivery,El usuario no pagara por entregar el vehiculo fuera de horas,L'utente non deve pagare per la consegna fuori orario,Der Benutzer muss nicht für die Zustellung außerhalb der Öffnungszeiten bezahlen,
cargo_conductor_joven,Young driver charge: X € per day.,Cargo Conductor Joven: X € por dia.,Tariffa per giovani conducenti,Gebühr für junge Fahrer, X € pro Tag.
tooltip_cargo_conductor_joven,The user must pay a supplement for young driver of X € per day,El usuario debe pagar un suplmento por conductor joven de X € por dia,L'utente deve pagare un supplemento per giovani conducenti di X € al giorno.,Der Benutzer muss einen Jungfahrerzuschlag von X € pro Tag zahlen.,
sin_cargo_conductor_joven,No supplement for young driver,Sin suplemento por conductor joven,Nessun supplemento per i giovani guidatori,Kein Jungfahrerzuschlag,
tooltip_sin_cargo_conductor_joven,The user will not pay a supplement for being a young driver,El usuario no pagara un suplemento por ser un conductor joven,L'utente non pagherà un supplemento per i giovani conducenti.,Der Benutzer zahlt keinen Jungfahrerzuschlag.,
ofertas_especiales,Special offers:,Ofertas Especiales:,Offerte speciali,Besondere Angebote,
consultar_precio,Price on request,Consultar Precio,Prezzo su richiesta,Preis auf Anfrage,
precio_por,Price per,Precio por,Prezzo per,Preis pro,
dias,days,dias,giorni,Tage,
dia,day,dia,giorno,Tag,
boton_reservar,Reserve,Reservar,Libro,Buchen Sie,
enero,January,Enero,Gennaio,Januar,
febrero,February,Febrero,Febbraio,Februar,
marzo,March,Marzo,Marzo,März,
abril,April,Abril,Aprile,April,
mayo,May,Mayo,Maggio,Mai,
junio,June,Junio,Giugno,Juni,
julio,July,Julio,Luglio,Juli,
agosto,August,Agosto,Agosto,August,
septiembre,September,Septiembre,Settembre,September,
octubre,October,Octubre,Ottobre,Oktober,
noviembre,November,Noviembre,Novembre,November,
diciembre,December,Diciembre,Dicembre,Dezember,
corto_enero,Jan,Ene,Jan,Jan,
corto_febrero,Feb,Feb,Feb,Feb,
corto_marzo,Mar,Mar,Mar,Mar,
corto_abril,Apr,Abr,Apr,Apr,
corto_mayo,May,May,Maggio,Mai,
corto_junio,Jun,Jun,Jun,Jun,
corto_julio,Jul,Jul,Jul,Jul,
corto_agosto,Aug,Ago,Agosto,Aug,
corto_septiembre,Sep,Sep,Sep,Sep,
corto_octubre,Oct,Oct,Ott,Okt.,
corto_noviembre,Nov,Nov,Nov,Nov,
corto_diciembre,Dec,Dic,Dic,Dez.,
domingo,Sunday,Domingo,Domenica,Sonntag,
lunes,Monday,Lunes,Lunedì,Montag,
martes,Tuesday,Martes,Martedì,Dienstag,
miercoles,Wednesday,Miércoles,Mercoledì,Mittwoch,
jueves,Thursday,Jueves,Giovedì,Donnerstag,
viernes,Friday,Viernes,Venerdì,Freitag,
sabado,Saturday,Sábado,Sabato,Samstag,
corto_domingo,Sun,Dom,Sole,Sonne,
corto_lunes,Mon,Lun,Mon,Mo,
corto_martes,Tue,Mar,Mar,Di,
corto_miercoles,Wed,Mie,Mer,Mi,
corto_jueves,Thu,Jue,Thu,Thu,
corto_viernes,Fri,Vie,Ven,Fr,
corto_sabado,Sat,Sab,Sat,Sat,
min_domingo,Su,Do,Sole,Sonne,
min_lunes,Mo,Lu,Mon,Mo,
min_martes,Tu,Ma,Mar,Di,
min_miercoles,We,Mi,Mer,Mi,
min_jueves,Th,Ju,Thu,Thu,
min_viernes,Fr,Vi,Ven,Fr,
min_sabado,Sa,Sa,Sa,Sa,
cerrar_clock,Close,Cerrar,Chiudere,Schließen,
anterior_clock,< Prev,< Ant,< Formica,< Ameise,
siguiente_clock,Next >,Sig >,Prossimo >,Nächste >,
hoy_clock,Today,Hoy,Oggi,Heute,
alt_reloj_recogida,Clock Pickup,Reloj Recogida,Ritiro dell'orologio,Uhr Pickup,
modificar,Modify,Modificar,Modificare,Ändern Sie,
alt_siguiente,next,siguente,prossimo,nächste,
alt_anterior,previous,anterior,precedente,vorherige,
alt_icono_edad_conductor,driver age icon,icono edad conductor,icona dell'età del conducente,Symbol für das Alter des Fahrers,
alt_marca,mark,marca,segnare,markieren,
alt_icono_condiciones,icon conditions,icono condiciones,condizioni dell'icona,Symbolbedingungen,
alt_persona,Maximum number of persons,Maximo personas,Numero massimo di persone,Maximale Anzahl von Personen,
alt_puerta,Number of doors,Numero de puertas,Numero di porte,Anzahl der Türen,
alt_aire,air conditioning icon,icono de aire acondicionado,icona dell'aria condizionata,Klimaanlagen-Symbol,
alt_cambio_manual,manual transmission,cambio manual,cambio manuale,Handschaltgetriebe,
alt_cambio_auto,automatic transmission,cambio automatico,cambio automatico,Automatik-Getriebe,
alt_kilometraje,mileage,kilometraje,chilometraggio,Kilometerstand,
alt_cancelaciones,cancellation,cancelacion,cancellazione,Stornierung,
alt_modificacion,modification,modificacion,cambiare,ändern,
alt_icono_hecho,icon completed,icono completado,icona completata,Symbol abgeschlossen,
alt_precio_total,Total price for,Precio total para,Prezzo totale per,Gesamtpreis für,
titulo_condiciones_generales,GENERAL CONDITIONS,CONDICIONES GENERALES,CONDIZIONI GENERALI,ALLGEMEINE BEDINGUNGEN,
requisitos_conductor_plus,Driver Plus Requirements:,Requisitos Conductor Plus:,Requisiti di Driver Plus,Treiber Plus Anforderungen,
conductor_plus_coche,Driver Plus Car:,Conductor Plus Coche:,Auto più conducente,Fahrer Plus Auto,
conductor_plus_moto,Driver Plus Motorcycle,Conductor Plus Moto:,Autista più moto,Fahrer Plus Motorrad,
suplemento_conductor_plus_coche,Supplement Driver Plus Car:,Suplemento Conductor Plus Coche:,Supplemento Driver Plus Car,Ergänzung Fahrer Plus Auto,
suplemento_conductor_plus_moto,Supplement Driver Plus Motorcycle:,Suplemento Conductor Plus Motos:,Supplemento autista più moto,Ergänzung Fahrer Plus Motorrad,
coche_conductor,Car,Coche,Auto,Auto,
descripcionclase_coche_pequenos,Small cars,Coches pequeños,Auto piccole,Kleinwagen,
descripcionclase_coche_automaticos,Automatic cars,Coches automaticos,Auto automatiche,Automatische Autos,
descripcionclase_coche_cincopuertas,5-door cars,Coches 5 puertas,5 porte auto,5-türige Autos,
descripcionclase_coche_sietepuertas,7-door cars,Coches 7 puertas,7 porte auto,7-türige Autos,
descripcionclasemoto_pequena,Small motorcycles,Motos pequeñas,Piccole motociclette,Kleine Motorräder,
descripcionclasemoto_grande,Big motorcycles,Motos grandes,Grandi motociclette,Große Motorräder,
pordia,per day.,por día.,al giorno.,pro Tag.,
edad_conductor_joven,Young driver age:,Edad conductor joven:,Età del giovane guidatore,Alter des jungen Fahrers,
conductor_joven_coche,Young Car Driver:,Conductor joven de Coches:,Giovane guidatore di auto,Junge Fahrer von Autos,
conductor_joven_moto,Young Motorcycle Driver:,Conductor joven de Motos:,Giovane motociclista,Junger Motorradfahrer,
from_deciocho_a,from 18 years to,de 18 años a ,18 anni a ,18 Jahre bis ,
anos_final,years old.,años.,anni.,Jahre alt.,
suplemento_conductor_joven_coches,Young card driver supplement:,Suplemento conductor joven de Coches:,Supplemento per giovani automobilisti,Zuschlag für junge Autofahrer,
suplemento_conductor_joven_motos,Young motorcycle driver supplement:,Suplemento conductor joven de Motos:,Supplemento per giovani motociclisti,Zuschlag für junge Motorradfahrer,
permiso_conducir_internacional,International driving license:,Permiso de conducir internacional:,Patente di guida internazionale,Internationaler Führerschein,
permiso_conducir_internacional_descripcion,"Lorem, ipsum dolor sit amet consectetur adipisicing elit. Mollitia, dicta.","Lorem, ipsum dolor sit amet consectetur adipisicing elit. Mollitia, dicta.","Lorem, ipsum dolor sit amet consectetur adipisicing elit Mollitia, dicta.","Lorem, ipsum dolor sit amet consectetur adipisicing elit Mollitia, dicta.",
conductor_adicional_descripcion,"Lorem, ipsum dolor sit amet consectetur adipisicing elit. Mollitia, dicta.","Lorem, ipsum dolor sit amet consectetur adipisicing elit. Mollitia, dicta.","Lorem, ipsum dolor sit amet consectetur adipisicing elit. Mollitia, dicta.","Lorem, ipsum dolor sit amet consectetur adipisicing elit. Mollitia, dicta.",
pago_condiciones_descripcion,"Lorem, ipsum dolor sit amet consectetur adipisicing elit. Mollitia, dicta.","Lorem, ipsum dolor sit amet consectetur adipisicing elit. Mollitia, dicta.","Lorem, ipsum dolor sit amet consectetur adipisicing elit. Mollitia, dicta.","Lorem, ipsum dolor sit amet consectetur adipisicing elit. Mollitia, dicta.",
conductor_adicional,Aditional driver:,Conductor adicional:,Driver aggiuntivo,Zusätzlicher Treiber,
pago_condiciones,Payment:,Pago:,Pagamento,Bezahlung,
seguro_condiciones,Insurance:,Seguro:,Assicurazione,Versicherung,
seguro_precio_coches_condiciones,Car price includes comprehensive insurance (but does not cover lost or broken keys).,El precio de los coches incluye seguro a todo riesgo (pero no cubre pérdida o rotura de llaves).,Il prezzo dell'auto include l'assicurazione completa (ma non copre le chiavi perse o rotte).,Der Fahrzeugpreis beinhaltet eine Vollkaskoversicherung (deckt jedoch keine verlorenen oder abgebrochenen Schlüssel ab).,
seguro_precio_motos_condiciones,Motorcycle price includes a warranty (but does not cover loss or breakage of keys).,El precio de las motos incluye una garantia (pero no cubre pérdida o rotura de llaves).,Il prezzo della moto include una garanzia (ma non copre la perdita o la rottura delle chiavi).,Der Motorradpreis beinhaltet eine Garantie (deckt jedoch nicht den Verlust oder Bruch von Schlüsseln ab).,
noche_fuera_condiciones,Overnight outside delivery:,Noche por fuera de entrega:,Notte fuori dalla consegna,Über Nacht außerhalb der Lieferung,
coches_condiciones,Cars:,Coches:,Auto,Autos,
motos_condiciones,Motorcycles:,Motos:,Motociclette,Motorräder,
fuera_tiempo_entrega,Out of time on delivery:,Fuera de tiempo en la entrega:,Fuori tempo massimo per la consegna,Außerhalb der Zeit bei Lieferung,
detalles,/details,/detalles,/dettagli,/einzelheiten,
osimilar,or similar,o similar,o simile,oder ähnlich,
dias_titulo,Days,Días,Giorni,Tage,
alquiler_titulo,Rental,Alquiler,Noleggio,Vermietung,
seguro_titulo,Insurance,Seguro,Assicurazione,Versicherung,
seguro_descripcion,The price includes comprehensive insurance,El precio incluye seguro a todo riesgo,Il prezzo include l'assicurazione contro tutti i rischi,Der Preis beinhaltet eine Vollkaskoversicherung,
conductor_joven_titulo,Young Driver,Conductor Joven,Giovane autista,Junger Fahrer,
total_titulo,Total,Total:,Totale,Gesamt,
pago_recogida_titulo,Payment on collection,Pago a la recogida,Pagamento all'incasso,Zahlung bei Abholung,
pago_online_titulo,Online Payment,Pago Online,Pagamento online,Online-Zahlung,
incluido_precio_titulo,Included in the price,Incluido en el Precio:,Incluso nel prezzo,Im Preis inbegriffen,
seguro_incluido_titulo,Fully comprehensive insurance,Seguro todo riesgo,Assicurazione completa,Vollkasko-Versicherung,
sillas_elevadores_titulo,Child seats and boosters,Sillas y Elevadores de niños,Seggiolini per bambini e seggiolini,Kindersitze und Sitzerhöhungen,
cancelacion_titulo,Free cancellation,Cancelación gratuita,Cancellazione gratuita,Kostenlose Stornierung,
impuestos_titulo,Local taxes,Impuestos locales,Tasse locali,Lokale Steuern,
asientos_titulo,Child seats,Asientos niños,Seggiolini per bambini,Kindersitze,
info_asientos,info,info,info,Infos,
descripcion_asientos,Child seats are for children from 1 to 3 years old,"Los asientos de niños, son para niños de 1 a 3 años",I seggiolini sono per bambini da 1 a 3 anni,Die Kindersitze sind für Kinder im Alter von 1 bis 3 Jahren,
descripcion_asientos_dos,(weighing between 9-18kg).,(con un peso entre 9-18kg).,(peso tra 9-18 kg).,(mit einem Gewicht zwischen 9-18 kg).,
title_seguro_todoriesgo,Offer at the best price guaranteed,Oferta al mejor precio garantizado,Offerta al miglior prezzo garantito,Angebot zum garantiert besten Preis,
title_sillas,The offer includes CE approved seats and boosters.,La oferta incluye sillas y elevadores homologados CE,L'offerta include seggiolini e rialzi approvati CE.,Das Angebot umfasst CE-geprüfte Sitze und Sitzerhöhungen.,
title_cancelar,The offer also includes the possibility to cancel the booking 24 hours before collection,Además la oferta incluye la posibilidad de cancelar la reserva 24 Horas antes de la recogida,L'offerta include anche la possibilità di cancellare la prenotazione 24 ore prima dell'orario di ritiro,"Das Angebot beinhaltet auch die Möglichkeit, die Buchung 24 Stunden vor der Abholzeit zu stornieren",
title_impuestos,offer includes local taxes,la oferta incluye los impuestos locales,l'offerta include le tasse locali,das Angebot enthält lokale Steuern,
alt_icono_reservar,Icon made small,Icono hecho pequeño,Icona resa piccola,Icon klein gemacht,
reservar_titulopagina,Booking,Reservar,Riserva,Reserve,
datos_reserva,Booking Data,Datos de la Reserva,Dati di prenotazione,Buchungsdaten,
icono_reserva,booking icon,icono reserva,icona di prenotazione,Buchungssymbol,
elevadores_titulo,Children lifts,Elevadores niños,Ascensori per bambini,Kinderlifte,
elevadores_descripcion,The boosters are recommended for children aged 4-11 years,Los elevadores son recomendados para niños de 4-11 años,I booster sono raccomandati per i bambini dai 4 agli 11 anni,Die Booster werden für Kinder im Alter von 4-11 Jahren,
elevadores_descripcion_dos,(weighing between 18-45kg).,(con un peso entre 18-45kg).,(con un peso tra i 18 e i 45 kg).,(mit einem Gewicht zwischen 18-45kg).,
pordia,per day,por dia,al giorno,pro Tag,
datos_conductor_titulo,Main Driver Data,Datos Conductor Principal,Dati principali dell'autista,Haupttreiberdaten,
datos_titulo_titulo,Title ,Título :,Titolo,Titel ,
sr_titulo,Mr,Sr,Signor,Herr,
sra_titulo,Ms,Sra,Signora,Frau,
nombre_titulo,First name ,Nombre,Nome,Name ,
apellidos_titulo,Surname ,Apellidos,Cognome ,Nachname ,
email_titulo,E-mail ,E-mail,E-mail ,E-Mail ,
email_descripcion,This is the e-mail address where we will send you your confirmation.,A este E-mail es donde te enviaremos tu confirmación,Questo è l'indirizzo e-mail dove ti invieremo la tua conferma.,"Dies ist die E-Mail-Adresse, an die wir Ihnen Ihre Bestätigung senden werden.",
email_descripcion_dos,This is where we will send you the booking confirmation with all the information for the pick up of your car.,Aquí es donde te enviaremos la confirmación de la reserva con toda la informacion para la recogida de tu coche,Qui vi invieremo la conferma della prenotazione con tutte le informazioni per il ritiro della vostra auto.,Hier senden wir Ihnen die Buchungsbestätigung mit allen Informationen für die Abholung Ihres Autos.,
,,,,,
tooltip_terminos_condiciones,Terms and Conditions,Términos y condiciones,Termini e condizioni,Bedingungen und Konditionen,
terminos_condiciones,Terms and Conditions,Términos y condiciones,Termini e condizioni,Bedingungen und Konditionen,
tooltip_politicia_privacidad,Privacy Policy,Protección de datos,Politica sulla privacy,Datenschutzrichtlinie,
politica_privacidad,privacy policy,política de privacidad,informativa sulla privacy,Datenschutzbestimmungen,
leido_acepto,I have read and accept,He leído y acepto,Ho letto e accetto,Ich habe gelesen und akzeptiere,
and,and,y,e,und,
titulo_terminos_condiciones,Terms and Conditions,Términos y condiciones,Termini e condizioni,Bedingungen und Konditionen,
titulo_privacidad,Privacy policy,Protección de datos,Politica sulla privacy,Datenschutzrichtlinie,
campos_requeridos,* Required fields,* Campos requeridos,* Campi obbligatori,* Erforderliche Felder,
telefono,Phone,Teléfono,Telefono,Telefon,
telefono_placeholder,In case we need to reach you urgently,Por si tenemos que contactar contigo,Se abbiamo bisogno di contattarti urgentemente,"Im Fall, dass wir Sie dringend erreichen müssen",
reservar_ahora,Book now,Reservar ahora,Prenota ora,Jetzt buchen,
